No.	SKU	Barcode	Name	Brand	Quantity
1320	100330018	3.33787E+12	M9032421 VICHY Hair Loss Shampoo energising(đỏ) 200ml	VICHY	10
1321	100160006	86800687900	Kem Chống NắngNeutrogena US Dry Touch SPF 50 88ml	Neutrogena	10
1322	422209711	8.80949E+12	Banobagi Super Collagen Retinol (màu hồng đất)	BANOBAGI	10
1323	422200188	8.93476E+12	BVS Diana ST Cool Fresh SM Cánh 08-1704	DIANA	10
1324	422203706	5.06017E+12	Perspi-Guard Maximum Strength Antiperspirant 30ml (Dạng lăn)	Perspi-Guard	10
1325	422211112	6.9024E+12	SON KEM BÓNG MAYBELLINE NEW YORK SUPER STAY VINYL INK_130 EXTRA	MAYBELLINE	10
1326	100150072	3.43342E+12	LA ROCHE-POSAY M0362200 M0362201 Thermal Spring Water Sensitive Skin 150g	LA ROCHE-POSAY	10
1327	422204802	8.80105E+12	BS HML Pinksalt BrightFloral TP 100g_R20	BAMBOO SALT	10
1328	422205057	8.85914E+12	Xịt Thơm Toàn Thân Malissa Kiss  - Hương Crazy in Love	Malisa Kiss	10
1329	422211211	8.80971E+12	innisfree Airy Matte Lipstick no.2 Mood Orange	Innisfree	10
1330	213300012	4.9013E+12	721755 Biore UV AQUA Rich Watery Gel SPF 50+PA++++ 90ml	Biore	10
1331	422216784		[GIFT] NIVEA TÚI TOTE	NIVEA	10
1332	422212870	3.70113E+12	Bioderma Sensibio Gel Moussant 45ml/Tuýt	BIODERMA	10
1333	422202638	8.80964E+12	Laneige  111975377 Neo Cushion_Glow 21N 15G2	LANEIGE	10
1334	422200286	4.90243E+12	DG Pant Ngăn Rụng Tóc 900g	Pantene	10
1335	422210385	8.80971E+12	JMSOLUTION EDELWEISS GLACIER WATER ALPS MASK SNOW	JMsolution	10
1336	100150065	3.28278E+12	AVÈNE THERMAL SPRING WATER 50ML	AVENE	10
1337	207500002		COMBO 2 HỘP  Silcot Bông tẩy trang cao cấp (hộp xanh lá -1 Hộp 66 miếng)	SILCOT	10
1338	422211305	4.97423E+12	sagami original 0.02 (hộp 2)	Sagami	9
1339	422216269	8.80951E+12	Jmsolution Placen Lanolin Mask Pure 35ml	JMsolution	9
1340	422205001	71603469006	Trim - Cắt lớn	TRIM	9
1341	422210523	8.93501E+12	Acnes Travel Set Cho Da Khô, Nhạy Cảm	Acnes	9
1342	214600025	6.90315E+12	DG Pant Micellar Sạch sâu Chiết xuất Tảo Biển 530ML	Pantene	9
1343	100220010	77043104507	Tẩy tbc STIVES blemish control apricot scrub 170gr	ST.IVES	9
1344	422214368		COMBO  Eucryl Tooth Powder Freshmint +  Eucryl Tooth Paste Freshmint	Eucryl	9
1345	422205382	4.51357E+12	Hatomugi Cleansing & Pore Clear chai 500ml	HATOMUGI	9
1346	226200002	8.93501E+12	Acnes Creamy Wash 50g	Acnes	9
1347	422203463	8.9361E+12	Cocoon Tinh Chất Hoa Hồng 30ml	COCOON	9
1348	100750025	8.8094E+12	VAC BP10 Bông Phấn Ướt Xúc Xích Vacosi	VACOSI	9
1349	213300064	8.93468E+12	910377 Sữa rửa mặt Bioré sạch mụn & kháng khuẩn 100g	Biore	9
1350	213300011	8.93468E+12	748129 Biore Essence CN dưỡng ẩm- Aqua Rich Water Essence SPF50/PA++++ - 50g	Biore	9
1351	422206647	8.99499E+12	L'OREAL GLYCO BRIT FOAM 100ML AS	L'OREAL	9
1352	287100014	8.93476E+12	Băng Vệ Sinh Hằng Ngày Sensi Cool Fresh ( 20 Miếng)	DIANA	9
1353	386000018	8.80951E+12	JMsolution Glow Luminous Flower Sun Spray 180ml	JMsolution	9
1354	422204718	53100341658	KDR Aquafresh Extreme Clean Pure Breath 158.8 gr	Aquafresh	9
1355	200500289	8.80969E+12	Laneige 111975413 Water Sleeping Mask 25Ml	LANEIGE	9
1356	422203552	4.51141E+12	DHC Multi Vitamins (90 Days Supply)	DHC	9
1357	232500001	4.90247E+12	Meishoku Skin lotion  90ml	Meishoku	9
1358	100190183	8.85003E+12	86609 NIVEA Oil Control Make Up Clear Cleansing Water  200ml ( xanh )	NIVEA	9
1359	214600024	4.90243E+12	DX Pant 3 Phút Kỳ Diệu Chăm sóc hư tổn 300ml	Pantene	9
1360	345800041	8.80965E+12	SBM Yuja Niacin 30 days Blemish Care Serum Mask 25g	SOME BY MI	9
1361	422205629	8.80965E+12	Some By Mi Real Cica Calming Care Mask 20g	SOME BY MI	9
1362	222600057	8.88818E+12	Bio-essence Bird Nest Collagen Essence Cream 50G	Bio-essence	9
1363	422215740		[COMBO] L'OREAL MCLR WTR HA 95ML (ZVN01497) + RV DERMA HA SEUM 7.5ML EBT	L'OREAL	9
1364	422203266	8.99273E+12	310116 Laurier Loại ban đêm siêu bảo vệ- 40cm 4M	Laurier	9
1365	422204523	8.93608E+12	Wakamono Khẩu Trang 	Wakamono	9
1366	422206459	9.30083E+12	REXONA NAM XỊT KHỬ MÙI ANTIBAC 150ML/12 CHAI	Rexona	9
1367	422205181		Combo 2 bông 140pads Ceiba	CEIBA	9
1368	422200210	5.0522E+12	DUREX KINGTEX (ĐEN >) 12s	Durex	9
1369	205600273	41554433753	MBL FIT ME POWDER MAT PORE 110	MAYBELLINE	9
1370	422205832	8.93854E+12	Sữa Tắm Nước Hoa Gennie Little Rose Dress For Her 450ml	Gennie	9
1371	204600015	4.90243E+12	DG H&S Sub-Zero Băng Lạnh sạch gàu 550ML	Head & Shoulders	9
1372	422203255	8.93501E+12	Xịt khử mùi hương nước hoa Hương Tình Yêu (Refre Whitening Perfume In Love) 30ml	Refre	9
1373	422205592	8.85884E+12	SỮA DƯỠNG THỂ HƯƠNG NƯỚC HOA CAO CẤP CATHY DOLL WHITE MOON PERFUME LOTION 150ML	Cathy Doll	9
1374	298300026	8.85182E+12	Băng Vệ Sinh Laurier Hàng ngày Phân Tử Bạc 2 Tác Động (36 miếng)277368	Laurier	9
1375	298300027	8.99273E+12	Băng Vệ Sinh Laurier Ngày Đầu-Cuối Không Hương (20 miếng)277369	Laurier	9
1376	422201905	8.93609E+12	Milaganics Dầu gội bưởi  250ml	Milaganics	9
